open,high,low,close,volume,openTime,closeTime
1635.17,1640.81,1631.21,1634.63,21280.737,2021-02-08 09:30:00,2021-02-08 09:44:59
1634.63,1638.00,1629.04,1630.81,17982.381,2021-02-08 09:45:00,2021-02-08 09:59:59
1630.68,1635.26,1627.26,1633.05,18214.026,2021-02-08 10:00:00,2021-02-08 10:14:59
1633.05,1641.34,1632.61,1637.91,18509.159,2021-02-08 10:15:00,2021-02-08 10:29:59
1637.91,1648.18,1635.00,1643.82,20146.168,2021-02-08 10:30:00,2021-02-08 10:44:59
1643.82,1650.68,1640.30,1650.50,22953.004,2021-02-08 10:45:00,2021-02-08 10:59:59
1650.49,1669.00,1650.44,1661.00,69326.970,2021-02-08 11:00:00,2021-02-08 11:14:59
1661.17,1665.49,1656.43,1664.35,23911.947,2021-02-08 11:15:00,2021-02-08 11:29:59
1664.45,1667.36,1656.13,1664.68,24104.070,2021-02-08 11:30:00,2021-02-08 11:44:59
1664.68,1664.98,1656.66,1664.03,15672.788,2021-02-08 11:45:00,2021-02-08 11:59:59
1664.11,1677.00,1651.00,1651.31,65727.499,2021-02-08 12:00:00,2021-02-08 12:14:59
1651.33,1656.70,1651.01,1652.25,19506.358,2021-02-08 12:15:00,2021-02-08 12:29:59
1652.27,1677.36,1645.00,1676.10,53153.731,2021-02-08 12:30:00,2021-02-08 12:44:59
1676.10,1735.91,1675.91,1733.28,201387.170,2021-02-08 12:45:00,2021-02-08 12:59:59
1733.29,1758.24,1697.63,1702.11,155646.332,2021-02-08 13:00:00,2021-02-08 13:14:59
1702.12,1734.42,1698.22,1714.24,91873.877,2021-02-08 13:15:00,2021-02-08 13:29:59
1714.24,1721.87,1691.54,1697.40,71639.794,2021-02-08 13:30:00,2021-02-08 13:44:59
1697.39,1705.68,1680.79,1688.87,70250.729,2021-02-08 13:45:00,2021-02-08 13:59:59
1688.87,1729.80,1688.10,1719.70,81743.436,2021-02-08 14:00:00,2021-02-08 14:14:59
1719.82,1722.70,1706.79,1708.17,46930.033,2021-02-08 14:15:00,2021-02-08 14:29:59
1708.22,1714.10,1700.00,1700.62,33811.581,2021-02-08 14:30:00,2021-02-08 14:44:59
1700.62,1718.00,1700.12,1715.56,36753.333,2021-02-08 14:45:00,2021-02-08 14:59:59
1715.43,1726.97,1710.45,1711.28,43106.142,2021-02-08 15:00:00,2021-02-08 15:14:59
